City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Heihe,CN,50.2441,127.4902,84.78,38,18,10.71,few clouds
80,Punta Arenas,CL,-53.15,-70.9167,42.91,65,75,12.66,broken clouds
81,Margate,GB,51.3813,1.3862,59.88,95,100,4.0,overcast clouds
82,Mahajanga,MG,-15.7167,46.3167,84.22,42,20,10.36,few clouds
83,Qaanaaq,GL,77.484,-69.3632,27.75,94,100,2.48,overcast clouds
84,Merauke,ID,-8.4667,140.3333,81.5,81,71,14.34,broken clouds
85,Eureka,US,40.8021,-124.1637,56.68,82,100,1.63,overcast clouds
86,Carnarvon,AU,-24.8667,113.6333,71.62,64,84,22.75,light rain
87,Luganville,VU,-15.5333,167.1667,77.94,73,95,6.69,overcast clouds
88,Vyartsilya,RU,62.1764,30.693,68.32,34,55,9.6,broken clouds
89,Fairbanks,US,64.8378,-147.7164,62.94,47,0,11.5,clear sky
90,Paso De Patria,AR,-27.2454,-58.5454,59.07,69,100,3.18,overcast clouds
91,Mildura,AU,-34.2,142.15,51.08,69,75,9.04,broken clouds
92,Pisco,PE,-13.7,-76.2167,56.01,88,20,4.61,mist
93,Vardo,NO,70.3705,31.1107,48.18,76,40,10.36,scattered clouds
94,Ola,RU,59.5833,151.2833,59.14,81,88,7.09,overcast clouds
95,Guerrero Negro,MX,27.9769,-114.0611,61.54,91,100,10.54,overcast clouds
96,Georgetown,MY,5.4112,100.3354,89.55,66,20,11.5,few clouds
97,Santa Cruz Del Sur,CU,20.7147,-77.9956,76.59,87,97,7.02,overcast clouds
98,Dikson,RU,73.5069,80.5464,31.32,88,11,5.14,few clouds
99,Barrow,US,71.2906,-156.7887,26.62,80,100,10.36,overcast clouds
100,Praia,CV,14.9215,-23.5087,70.34,78,20,4.61,few clouds
101,Hithadhoo,MV,-0.6,73.0833,83.21,67,100,4.92,overcast clouds
102,Palana,RU,59.1167,159.9667,46.4,75,100,6.91,overcast clouds
103,Geraldton,AU,-28.7667,114.6,79.21,44,100,12.66,overcast clouds
104,Ribeira Grande,PT,38.5167,-28.7,66.6,88,75,8.05,broken clouds
105,Kisesa,TZ,-3.0833,34.15,74.84,46,42,10.69,scattered clouds
106,Save,BJ,8.0425,2.486,81.05,70,32,4.16,scattered clouds
107,Viransehir,TR,37.2353,39.7631,87.6,29,0,10.69,clear sky
108,Bafra,TR,41.5678,35.9069,72.77,70,69,4.56,broken clouds
109,Clyde River,CA,70.4692,-68.5914,34.03,93,100,6.91,overcast clouds
110,Gorontalo,ID,0.5412,123.0595,82.92,83,100,2.66,overcast clouds
111,Cayeli,TR,41.0923,40.7292,72.01,81,93,5.32,overcast clouds
112,Ponta Delgada,PT,37.7333,-25.6667,68.5,88,75,13.8,broken clouds
113,Maniitsoq,GL,65.4167,-52.9,38.97,65,13,4.85,few clouds
114,Krasnoselkup,RU,65.7,82.4667,57.33,30,1,13.73,clear sky
115,Lalibela,ET,12.0333,39.0333,75.49,19,100,3.22,overcast clouds
116,Avarua,CK,-21.2078,-159.775,69.85,100,20,2.3,few clouds
117,Lompoc,US,34.6391,-120.4579,54.59,91,0,0.0,clear sky
118,Luderitz,NA,-26.6481,15.1594,73.35,29,0,13.22,clear sky
119,Hofn,IS,64.2539,-15.2082,49.66,76,100,5.84,overcast clouds
120,Westport,US,41.1415,-73.3579,68.32,94,100,16.11,light rain
121,Thompson,CA,55.7435,-97.8558,48.36,76,75,4.61,broken clouds
122,Rocha,UY,-34.4833,-54.3333,48.61,94,6,4.68,clear sky
123,Cherskiy,RU,68.75,161.3,51.53,68,100,3.53,overcast clouds
124,Ovre Ardal,NO,61.3167,7.8,58.08,68,100,1.81,light rain
125,Sisimiut,GL,66.9395,-53.6735,38.19,66,14,3.31,few clouds
126,Cabo San Lucas,MX,22.8909,-109.9124,71.64,77,2,13.02,clear sky
127,Narsaq,GL,60.9167,-46.05,44.82,71,100,0.67,overcast clouds
128,Puerto Madero,MX,14.7208,-92.4215,73.6,100,75,0.0,broken clouds
129,Saint-Philippe,RE,-21.3585,55.7679,78.39,78,53,9.24,light rain
130,Kapit,MY,2.0167,112.9333,82.24,88,94,2.82,overcast clouds
131,Zongolica,MX,18.6667,-96.9833,67.71,88,100,3.11,overcast clouds
132,Magadan,RU,59.5667,150.8,58.53,85,96,8.21,overcast clouds
133,Ostrovnoy,RU,68.0531,39.5131,55.0,53,12,1.57,few clouds
134,Brigantine,US,39.4101,-74.3646,70.03,93,100,12.66,overcast clouds
135,Qaqortoq,GL,60.7167,-46.0333,40.15,82,100,2.08,overcast clouds
136,Camacha,PT,33.0833,-16.3333,63.82,88,75,12.66,broken clouds
137,Laguna,US,38.421,-121.4238,69.08,50,0,8.05,clear sky
138,Mount Gambier,AU,-37.8333,140.7667,51.28,73,99,9.42,overcast clouds
139,Veraval,IN,20.9,70.3667,89.04,69,20,12.5,few clouds
140,Butaritari,KI,3.0707,172.7902,82.29,75,27,10.94,scattered clouds
141,Port Elizabeth,ZA,-33.918,25.5701,72.32,44,0,3.0,clear sky
142,Tasiilaq,GL,65.6145,-37.6368,37.56,63,29,2.42,scattered clouds
143,Baculin,PH,7.4525,126.5842,81.68,81,99,4.83,overcast clouds
144,Daru,PG,-9.0763,143.2092,79.39,87,100,9.55,moderate rain
145,Vieux-Habitants,GP,16.0589,-61.7659,76.57,80,65,10.42,broken clouds
146,Port Blair,IN,11.6667,92.75,80.64,89,100,6.91,drizzle
147,Iqaluit,CA,63.7506,-68.5145,35.33,87,40,2.3,scattered clouds
148,Meulaboh,ID,4.1363,96.1285,84.52,69,100,6.8,overcast clouds
149,Sola,VU,-13.8833,167.55,81.3,67,82,14.09,broken clouds
150,Riyadh,SA,24.6877,46.7219,105.94,5,0,3.38,clear sky
151,Shenjiamen,CN,29.9576,122.298,70.7,71,29,9.22,scattered clouds
152,Bredasdorp,ZA,-34.5322,20.0403,71.55,30,2,5.44,clear sky
153,Prince Rupert,CA,54.3161,-130.3201,51.89,93,100,8.05,light rain
154,Longyearbyen,SJ,78.2186,15.6401,40.84,81,75,8.05,broken clouds
155,Monte Patria,CL,-30.6919,-70.9467,55.98,56,3,0.47,clear sky
156,Cap Malheureux,MU,-19.9842,57.6142,79.47,64,6,8.99,clear sky
157,Turukhansk,RU,65.8167,87.9833,48.13,83,91,15.7,light rain
158,Imbituba,BR,-28.24,-48.6703,61.09,99,100,4.0,overcast clouds
159,Labytnangi,RU,66.6572,66.4183,72.25,27,8,3.51,clear sky
160,Vila Velha,BR,-20.3297,-40.2925,67.95,75,0,1.14,clear sky
161,Kikwit,CD,-5.041,18.8162,81.1,33,91,7.23,overcast clouds
162,Coquimbo,CL,-29.9533,-71.3436,56.93,82,100,3.44,overcast clouds
163,La Ronge,CA,55.1001,-105.2842,55.65,62,100,2.3,overcast clouds
164,Sinnamary,GF,5.3833,-52.95,77.43,87,79,9.78,broken clouds
165,Chuy,UY,-33.6971,-53.4616,51.33,96,59,3.18,broken clouds
166,Quthing,LS,-30.4,27.7003,57.83,42,0,1.34,clear sky
167,Saskylakh,RU,71.9167,114.0833,60.94,45,1,11.83,clear sky
168,Alexandria,EG,31.2156,29.9553,82.36,61,0,6.91,clear sky
169,Kiri Buru,IN,22.0833,85.35,110.5,11,34,6.96,scattered clouds
170,Mackay,AU,-21.15,149.2,64.69,57,5,15.05,clear sky
171,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,53,0,13.8,clear sky
172,Victoria,HK,22.2855,114.1577,78.33,94,100,10.0,heavy intensity rain
173,San Jose,US,37.3394,-121.895,61.47,59,0,1.01,clear sky
174,Athmallik,IN,20.7219,84.5348,114.26,9,1,7.67,clear sky
175,Miles City,US,46.4083,-105.8406,50.97,93,40,6.91,scattered clouds
176,Oistins,BB,13.0667,-59.5333,80.69,78,40,14.97,scattered clouds
177,Abu Zabad,SD,12.35,29.25,88.92,41,95,11.68,overcast clouds
178,Lodja,CD,-3.4833,23.4333,83.61,37,96,5.82,overcast clouds
179,Nome,US,64.5011,-165.4064,69.87,41,0,8.14,clear sky
180,La Rochelle,FR,46.1667,-1.15,63.93,94,75,11.5,broken clouds
181,Shetpe,KZ,44.1667,52.1167,79.66,27,0,7.52,clear sky
182,Inirida,CO,3.8653,-67.9239,71.85,100,100,2.15,overcast clouds
183,Rio Grande,BR,-32.035,-52.0986,52.95,89,10,5.91,clear sky
184,Mahebourg,MU,-20.4081,57.7,79.25,69,40,6.91,scattered clouds
